Year,Year Code,Country Name,Country Code,"Birth rate, crude (per 1,000 people) [SP.DYN.CBRT.IN]","Life expectancy at birth, total (years) [SP.DYN.LE00.IN]","Life expectancy at birth, male (years) [SP.DYN.LE00.MA.IN]","Life expectancy at birth, female (years) [SP.DYN.LE00.FE.IN]",Population growth (annual %) [SP.POP.GROW],"Population, female [SP.POP.TOTL.FE.IN]","Population, male [SP.POP.TOTL.MA.IN]","Population, total [SP.POP.TOTL]","Population, male (% of total population) [SP.POP.TOTL.MA.ZS]","Population, female (% of total population) [SP.POP.TOTL.FE.ZS]",Net migration [SM.POP.NETM]
2000,YR2000,Latin America & the Caribbean (IDA & IBRD countries),TLA,22.5110983877468,71.5343567822716,68.3570641658268,74.794530677017,1.50361753276478,255428339,249379207,504921279,49.4008477289319,50.5991522710681,..
2000,YR2000,Latvia,LVA,8.6,70.3146341463415,64.9,76,-0.963935407092365,1279608,1087942,2367550,45.9522261602668,54.0477738397332,..
2000,YR2000,Least developed countries: UN classification,LDC,38.5387298328725,55.479786279606,54.1149997591333,56.9087614132029,2.52228405053565,329406832,327799630,657215854,49.8777247263281,50.1222752736719,..
2000,YR2000,Lebanon,LBN,21.119,74.507,72.821,76.125,2.50356398043794,1928063,1914711,3842774,49.8262713341976,50.1737286658024,..
2000,YR2000,Lesotho,LSO,30.952,47.691,44.92,50.869,0.645178333843277,1056121,976684,2032805,48.0461234599482,51.9538765400518,..
2000,YR2000,Liberia,LBR,42.914,51.734,50.681,52.789,5.36303144675025,1428378,1420069,2848447,49.8541485939531,50.1458514060469,..
2000,YR2000,Libya,LBY,21.626,70.852,69.232,72.762,1.54175395066812,2576914,2780979,5357893,51.9043400082831,48.0956599917169,..
2000,YR2000,Liechtenstein,LIE,12.9,76.8268292682927,73.9,79.9,1.27069595556566,..,..,33184,..,..,..
2000,YR2000,Lithuania,LTU,9.8,72.0195121951219,66.8,77.5,-0.703385440488978,1861630,1637906,3499536,46.8035108380104,53.1964891619896,..
2000,YR2000,Low & middle income,LMY,23.6718229803442,65.3754627723417,63.4632653197064,67.456076265555,1.47221660654473,2477694733,2535729672,5015312017,50.5787953494122,49.4212046505878,..
2000,YR2000,Low income,LIC,42.4784741548252,53.3659712889167,51.7512399611813,55.0083257030793,2.81990318470807,194940693,192147383,387088076,49.6391893507978,50.3608106492022,..
2000,YR2000,Lower middle income,LMC,27.4453027110716,62.6152896245729,61.2227768251613,64.1143718760313,1.78860015877005,1199157586,1245939021,2445096607,50.9566377480955,49.0433622519045,..
2000,YR2000,Luxembourg,LUX,13.1,77.8731707317073,74.8,81.1,1.34408299573143,221417,214883,436300,49.2510995033318,50.7489004966682,..
2000,YR2000,"Macao SAR, China",MAC,8.93,80.407,77.77,82.908,2.21811117098127,222872,204900,427772,47.8993482509374,52.1006517490626,..
2000,YR2000,Madagascar,MDG,41.275,58.485,57.305,59.699,3.11968906568346,7916321,7850485,15766806,49.7912196040213,50.2087803959787,..
2000,YR2000,Malawi,MWI,43.727,45.09,42.836,47.646,2.67638556232946,5645174,5503577,11148751,49.3649647390995,50.6350352609005,..
2000,YR2000,Malaysia,MYS,21.98,72.594,70.603,74.786,2.32461744821233,11376247,11818005,23194252,50.9523005958545,49.0476994041455,..
2000,YR2000,Maldives,MDV,21.385,70.173,69.229,71.356,2.12480729442437,138056,141340,279396,50.5876963163395,49.4123036836605,..
2000,YR2000,Mali,MLI,48.784,48.069,47.386,48.752,2.81185404193828,5518018,5428430,10946448,49.590789633313,50.409210366687,..
2000,YR2000,Malta,MLT,11.3,78.3487804878049,76.3,80.5,0.645267230900854,196590,193497,390087,49.6035808550257,50.3964191449743,..
2000,YR2000,Marshall Islands,MHL,..,65.2390243902439,62.8,67.8,0.664217837579631,..,..,50754,..,..,..
2000,YR2000,Mauritania,MRT,38.14,60.706,58.864,62.493,2.64405351470381,1322342,1307875,2630217,49.7249846685654,50.2750153314346,..
